id_sprzedaz,id_sklep,id_dokumentsprzedazy,ilosc_produktu,id_produkt
1000000,30306,1111111386,9,1011149
1000001,23816,1111111387,7,1011293
1000002,14730,1111111388,7,1011298
1000003,51074,1111111389,3,1011182
1000004,45882,1111111111,9,1011116
1000005,45882,1111111111,6,1011197
1000006,26412,1111111390,8,1011160
1000007,18624,1111111391,8,1011143
1000008,39392,1111111392,5,1011283
1000009,12134,1111111393,1,1011134
1000010,29008,1111111394,3,1011126
1000011,35498,1111111395,2,1011187
1000012,41988,1111111396,2,1011243
1000013,54968,1111111397,5,1011255
1000014,38094,1111111112,7,1011227
1000015,38094,1111111112,8,1011137
1000016,38094,1111111112,10,1011259
1000017,38094,1111111112,9,1011248
1000018,38094,1111111112,6,1011312
1000019,38094,1111111112,3,1011123
1000020,38094,1111111112,1,1011241
1000021,38094,1111111112,5,1011170
1000022,38094,1111111112,8,1011156
1000023,38094,1111111112,4,1011210
1000024,38094,1111111112,10,1011117
1000025,38094,1111111112,2,1011272
1000026,38094,1111111112,5,1011321
1000027,38094,1111111112,5,1011231
1000028,38094,1111111112,8,1011289
1000029,38094,1111111112,2,1011140
1000030,38094,1111111112,4,1011217
1000031,36796,1111111398,3,1011188
1000032,52372,1111111399,3,1011129
1000033,53670,1111111400,6,1011189
1000034,30306,1111111401,5,1011204
1000035,23816,1111111402,6,1011313
1000036,14730,1111111403,1,1011267
1000037,51074,1111111404,6,1011323
1000038,45882,1111111405,5,1011120
1000039,34200,1111111406,9,1011233
1000040,26412,1111111407,9,1011315
1000041,18624,1111111408,10,1011185
1000042,39392,1111111409,1,1011221
1000043,12134,1111111410,4,1011179
1000044,29008,1111111411,6,1011263
1000045,35498,1111111412,1,1011211
1000046,41988,1111111413,6,1011171
1000047,54968,1111111414,5,1011290
1000048,38094,1111111415,7,1011216
1000049,44584,1111111416,5,1011183
1000050,48478,1111111417,2,1011277
1000051,22518,1111111113,3,1011276
1000052,22518,1111111113,9,1011311
1000053,22518,1111111113,9,1011325
1000054,22518,1111111113,4,1011271
1000055,22518,1111111113,5,1011268
1000056,22518,1111111113,7,1011274
1000057,22518,1111111113,7,1011200
1000058,22518,1111111113,9,1011307
1000059,22518,1111111113,7,1011161
1000060,22518,1111111113,7,1011145
1000061,22518,1111111113,3,1011157
1000062,22518,1111111113,8,1011281
1000063,22518,1111111113,3,1011215
1000064,22518,1111111113,10,1011250
1000065,22518,1111111113,3,1011292
1000066,22518,1111111113,8,1011206
1000067,22518,1111111113,2,1011148
1000068,22518,1111111113,6,1011158
1000069,22518,1111111113,9,1011294
1000070,22518,1111111113,9,1011282
1000071,22518,1111111113,9,1011275
1000072,22518,1111111113,2,1011142
1000073,22518,1111111113,8,1011133
1000074,22518,1111111113,3,1011218
1000075,22518,1111111113,8,1011151
1000076,22518,1111111113,3,1011269
1000077,22518,1111111113,6,1011174
1000078,22518,1111111113,3,1011230
1000079,22518,1111111113,6,1011226
1000080,22518,1111111113,8,1011260
1000081,22518,1111111113,2,1011302
1000082,22518,1111111113,1,1011119
1000083,22518,1111111113,10,1011301
1000084,22518,1111111113,3,1011162
1000085,22518,1111111113,10,1011118
1000086,22518,1111111113,10,1011186
1000087,22518,1111111113,8,1011326
1000088,22518,1111111113,10,1011121
1000089,22518,1111111113,3,1011165
1000090,22518,1111111113,10,1011280
1000091,22518,1111111113,6,1011322
1000092,22518,1111111113,5,1011172
1000093,22518,1111111113,10,1011164
1000094,22518,1111111113,8,1011310
1000095,22518,1111111113,4,1011287
1000096,22518,1111111113,1,1011209
1000097,22518,1111111113,6,1011154
1000098,22518,1111111113,2,1011181
1000099,22518,1111111113,8,1011201
1000100,22518,1111111113,3,1011150
1000101,22518,1111111113,3,1011113
1000102,22518,1111111113,5,1011135
1000103,22518,1111111113,9,1011176
1000104,22518,1111111113,7,1011114
1000105,22518,1111111113,6,1011168
1000106,22518,1111111113,8,1011141
1000107,22518,1111111113,5,1011320
1000108,22518,1111111113,5,1011258
1000109,22518,1111111113,1,1011220
1000110,22518,1111111113,10,1011261
1000111,22518,1111111113,1,1011308
1000112,35498,1111111418,9,1011286
1000113,38094,1111111419,5,1011257
1000114,44584,1111111420,7,1011212
1000115,31604,1111111421,5,1011306
1000116,16028,1111111422,10,1011153
1000117,41988,1111111423,4,1011205
1000118,19922,1111111424,3,1011139
1000119,49776,1111111425,5,1011214
1000120,32902,1111111426,7,1011238
1000121,53670,1111111427,8,1011125
1000122,14730,1111111428,2,1011317
1000123,34200,1111111429,2,1011316
1000124,17326,1111111430,2,1011265
1000125,36796,1111111431,7,1011249
1000126,23816,1111111432,6,1011146
1000127,18624,1111111433,1,1011262
1000128,27710,1111111434,6,1011219
1000129,54968,1111111435,7,1011256
1000130,13432,1111111436,8,1011234
1000131,30306,1111111437,10,1011309
1000132,21220,1111111438,4,1011128
1000133,48478,1111111439,5,1011194
1000134,47180,1111111440,8,1011296
1000135,40690,1111111441,4,1011175
1000136,29008,1111111442,6,1011284
1000137,51074,1111111443,1,1011244
1000138,12134,1111111114,1,1011155
1000139,12134,1111111114,7,1011169
1000140,12134,1111111114,7,1011112
1000141,12134,1111111114,2,1011180
1000142,12134,1111111114,3,1011202
1000143,12134,1111111114,1,1011264
1000144,12134,1111111114,2,1011253
1000145,26412,1111111114,2,1011295
1000146,30306,1111111444,8,1011291
1000147,13432,1111111445,1,1011136
1000148,35498,1111111446,1,1011131
1000149,49776,1111111447,8,1011242
1000150,51074,1111111448,8,1011232
1000151,34200,1111111449,7,1011303
1000152,52372,1111111450,1,1011279
1000153,48478,1111111451,4,1011115
1000154,40690,1111111452,7,1011229
1000155,16028,1111111453,6,1011225
1000156,17326,1111111454,4,1011199
1000157,53670,1111111455,3,1011196
1000158,36796,1111111456,3,1011127
1000159,12134,1111111457,7,1011193
1000160,44584,1111111458,7,1011198
1000161,32902,1111111459,4,1011240
1000162,23816,1111111460,7,1011318
1000163,14730,1111111461,1,1011122
1000164,25114,1111111462,3,1011273
1000165,38094,1111111463,7,1011251
1000166,19922,1111111464,6,1011159
1000167,31604,1111111465,6,1011245
1000168,47180,1111111466,8,1011300
1000169,43286,1111111467,1,1011192
1000170,54968,1111111468,8,1011314
1000171,26412,1111111469,8,1011138
1000172,27710,1111111470,9,1011144
1000173,29008,1111111115,5,1011246
1000174,29008,1111111115,3,1011163
1000175,29008,1111111115,6,1011147
1000176,29008,1111111115,1,1011213
1000177,29008,1111111115,1,1011239
1000178,29008,1111111115,9,1011178
1000179,22518,1111111471,2,1011208
1000180,51074,1111111472,7,1011324
1000181,19922,1111111473,7,1011297
1000182,23816,1111111474,1,1011190
1000183,38094,1111111475,4,1011305
1000184,49776,1111111476,2,1011195
1000185,34200,1111111116,6,1011247
1000186,34200,1111111116,6,1011270
1000187,34200,1111111116,9,1011191
1000188,34200,1111111116,5,1011167
1000189,34200,1111111116,4,1011152
1000190,34200,1111111116,5,1011184
1000191,34200,1111111116,8,1011254
1000192,34200,1111111116,5,1011223
1000193,34200,1111111116,2,1011203
1000194,34200,1111111116,4,1011288
1000195,34200,1111111116,1,1011207
1000196,34200,1111111116,1,1011228
1000197,31604,1111111477,3,1011111
1000198,22518,1111111478,3,1011236
1000199,35498,1111111479,9,1011124
1000200,18624,1111111480,8,1011304
1000201,12134,1111111481,5,1011173
1000202,14730,1111111482,3,1011278
1000203,40690,1111111483,7,1011235
1000204,25114,1111111484,3,1011319
1000205,47180,1111111117,3,1011130
1000206,47180,1111111117,5,1011222
1000207,47180,1111111117,10,1011132
1000208,47180,1111111117,2,1011177
1000209,47180,1111111117,6,1011266
1000210,47180,1111111117,9,1011285
1000211,47180,1111111117,9,1011299
1000212,47180,1111111117,9,1011252
1000213,47180,1111111117,10,1011166
1000214,47180,1111111117,9,1011237
1000215,47180,1111111117,8,1011224
1000216,47180,1111111117,8,1011167
1000217,47180,1111111117,2,1011202
1000218,47180,1111111117,5,1011123
1000219,47180,1111111117,6,1011200
1000220,47180,1111111117,6,1011294
1000221,47180,1111111117,7,1011319
1000222,47180,1111111117,6,1011248
1000223,47180,1111111117,3,1011323
1000224,47180,1111111117,3,1011233
1000225,47180,1111111117,6,1011247
1000226,47180,1111111117,8,1011270
1000227,47180,1111111117,5,1011194
1000228,47180,1111111117,7,1011244
1000229,47180,1111111117,8,1011288
1000230,47180,1111111117,9,1011283
1000231,47180,1111111117,2,1011205
1000232,47180,1111111117,3,1011125
1000233,47180,1111111117,2,1011277
1000234,47180,1111111117,5,1011137
1000235,47180,1111111117,5,1011135
1000236,47180,1111111117,7,1011236
1000237,47180,1111111117,3,1011121
1000238,47180,1111111117,1,1011284
1000239,47180,1111111117,4,1011241
1000240,47180,1111111117,9,1011131
1000241,47180,1111111117,2,1011182
1000242,47180,1111111117,6,1011145
1000243,47180,1111111117,3,1011164
1000244,47180,1111111117,7,1011257
1000245,47180,1111111117,9,1011314
1000246,47180,1111111117,7,1011214
1000247,47180,1111111117,2,1011224
1000248,40690,1111111485,1,1011187
1000249,47180,1111111486,7,1011325
1000250,12134,1111111487,5,1011281
1000251,48478,1111111488,5,1011306
1000252,13432,1111111489,6,1011258
1000253,31604,1111111490,1,1011120
1000254,30306,1111111491,2,1011297
1000255,38094,1111111492,10,1011261
1000256,53670,1111111493,4,1011305
1000257,17326,1111111494,5,1011172
1000258,44584,1111111495,5,1011260
1000259,45882,1111111496,3,1011156
1000260,39392,1111111497,8,1011262
1000261,29008,1111111498,6,1011191
1000262,49776,1111111499,8,1011162
1000263,41988,1111111500,7,1011212
1000264,23816,1111111501,4,1011280
1000265,34200,1111111502,8,1011291
1000266,27710,1111111503,5,1011134
1000267,14730,1111111118,2,1011136
1000268,14730,1111111118,4,1011273
1000269,14730,1111111118,4,1011199
1000270,14730,1111111118,4,1011126
1000271,14730,1111111118,9,1011278
1000272,14730,1111111118,2,1011206
1000273,14730,1111111118,1,1011208
1000274,14730,1111111118,7,1011174
1000275,14730,1111111118,5,1011240
1000276,14730,1111111118,8,1011198
1000277,14730,1111111118,6,1011286
1000278,14730,1111111118,7,1011118
1000279,14730,1111111118,10,1011309
1000280,14730,1111111118,9,1011209
1000281,14730,1111111118,9,1011173
1000282,14730,1111111118,9,1011119
1000283,14730,1111111118,3,1011235
1000284,14730,1111111118,5,1011266
1000285,14730,1111111118,10,1011179
1000286,32902,1111111504,5,1011265
1000287,51074,1111111505,10,1011324
1000288,29008,1111111506,9,1011250
1000289,47180,1111111507,2,1011170
1000290,12134,1111111508,4,1011141
1000291,48478,1111111509,4,1011259
1000292,17326,1111111510,9,1011155
1000293,35498,1111111511,4,1011303
1000294,39392,1111111512,8,1011117
1000295,45882,1111111513,4,1011140
1000296,41988,1111111514,9,1011147
1000297,13432,1111111515,3,1011242
1000298,34200,1111111516,1,1011128
1000299,31604,1111111517,9,1011254
1000300,43286,1111111518,2,1011185
1000301,14730,1111111519,9,1011151
1000302,52372,1111111520,6,1011158
